,0
market apple,0.01563896808021925
wall street,0.01274228512585469
qcom,0.012439144523153523
stock wall street,0.01136805107373795
workforce,0.010456965111021423
notch,0.010429083937587704
halt,0.009849185281366185
france,0.009218086422894147
capital,0.008576214011027372
qualcomm qcom,0.007594720577718128
wsj,0.007206725651806437
make,0.0068334275759012065
weak,0.006777639983858363
industry outlook,0.0065020179979747945
nasdaq,0.006450609910754755
shell,0.006255682496283927
apple dispute,0.006104510916540914
surpass,0.00599284787290171
goldman sachs,0.0058581126370883104
opening bell,0.005818190658398984
alphabet,0.005810785873251337
ipo stock,0.005533093740640844
crypto,0.005459989201122605
stock set beat,0.0053833483078765424
mart,0.005382635234387186
highlight apple,0.005257620379911916
service pmi,0.005248755686760994
taking,0.005225620783786309
stock jump,0.005211141060197603
performance,0.005097584107017979
